chUserId	chUserName	chGroupId	BusinessUnit
Pool_FRVIS	Pool - FR Visual Transfer     	SALES_FR  	France (FR)
Pool_GLS  	Pool - Glidescope             	SERVICE   	Headquarters (HQ)
Pool_GSA  	Pool - GS Acces               	SALES_IN  	Headquarters (HQ)
POOL_HIGH_	Pool - High Repair Cost       	SERVICE   	Headquarters (HQ)
POOL_ISA  	Pool - Inside Sales           	SALES_IN  	Headquarters (HQ)
POOL_ISACA	Pool - Inside Sales CA        	SALES_CAN 	Verathon Medical Canada (SBM)
POOL_ISAFR	Pool - Inside Sales FR        	SALES_FR  	France (FR)
POOL_ISAUK	Pool - Inside Sales UK        	UK        	United Kingdom (UK)
POOL_ISRV 	Pool - International Service  	          	Headquarters (HQ)
POOL_LATIN	Pool - Latin America          	SALES-LA  	Headquarters (HQ)
POOL_LOANE	Pool - Service Loaner         	SERVICE   	Headquarters (HQ)
Pool_LR   	Pool - Loaner Request         	SUPPORT   	Headquarters (HQ)
Pool_LS   	Pool - Loaner Shipped         	SERVICE   	Headquarters (HQ)
Pool_NLVIS	Pool - EU Visual Transfer     	SALES_EURO	Netherlands (EU)
POOL_ORD  	Pool - Order Entry            	SALES_OUT 	Headquarters (HQ)
POOL_RA   	Pool - Repair Approval        	SERVICE   	Headquarters (HQ)
POOL_REPAI	Pool - Service Repair         	SUPPORT   	Headquarters (HQ)
POOL_ROW  	Pool - ROW Evals/Demos        	SALES_INT 	Headquarters (HQ)
Pool_SBRe 	Pool - Saturn Repair          	Saturn    	Headquarters (HQ)
POOL_SClos	Pool - Service Closed         	SUPPORT   	Headquarters (HQ)
POOL_SERVI	Pool - BVI 6x00               	          	Headquarters (HQ)
Pool_SPDis	Pool - ScanPoint Disconnect   	SERVICE   	Headquarters (HQ)
pool_SVC_P	Pool - Service Center Partner 	SUPPORT   	Headquarters (HQ)
POOL_TIN  	Pool - Trade In               	SERVICE   	Headquarters (HQ)
POOL_UK1  	Pool - UK Sales               	UK        	United Kingdom (UK)
POOL_UK2  	Pool - UK Service Open        	UK        	United Kingdom (UK)
POOL_UK3  	Pool - UK Service Closed      	UK        	United Kingdom (UK)
POOL_UK4  	Pool - UK Sales Closed        	UK        	United Kingdom (UK)
Pool_UKCF 	Pool - UK Customer Feedback   	UK        	United Kingdom (UK)
Pool_UKCL 	Pool - UK Call Log            	UK        	United Kingdom (UK)
POOL_UKFUT	Pool - UK Service Future      	UK        	United Kingdom (UK)
Pool_UKIF 	Pool - UK Internal Feedback   	UK        	United Kingdom (UK)
Pool_UKVIS	Pool - UK Visual Transfer     	UK        	United Kingdom (UK)
Pool30day 	Pool - 30day Call Back        	SERVICE   	Headquarters (HQ)
PoolAsiaDe	Pool - Asia Demo              	SALES_ASIA	Headquarters (HQ)
PoolAUSvcW	Service Pool - Warranty - AU  	          	Australia (AU)
PoolCCDE  	Pool-CustomerCareDE           	SALES_EURO	Netherlands (EU)
Pool-CCEU 	Pool-CustomerCareEU           	SALES_EURO	Netherlands (EU)
PoolCCSvcW	Service Pool - Warranty - CC  	          	Headquarters (HQ)
Pool-China	Pool - Sales China            	SALES_INT 	Headquarters (HQ)
PoolFRSvcW	Service Pool - Warranty - FR  	          	France (FR)
PoolNLSvcW	Service Pool - Warranty - NL  	          	Netherlands (EU)
Pool-NT   	Pool-NT                       	SALES_AU  	Australia (AU)
PoolReqBid	Pool - Request for Bid        	SERVICE   	Headquarters (HQ)
Pool-SA   	Pool-SA                       	SALES_AU  	Australia (AU)
Pool-Serv 	Pool-Service-Italy            	SalesItaly	Netherlands (EU)
poolsop   	Pool-Service Open             	SALES_EURO	Netherlands (EU)
Pool-Svc  	Pool-Service-Germany          	salegerman	Netherlands (EU)
Pool-TAS  	Pool-TAS                      	SALES_AU  	Australia (AU)
PoolUKSvcW	Service Pool - Warranty - UK  	          	United Kingdom (UK)
Pool-VTRNS	Pool - HQ Visual Transfer     	SERVICE   	Headquarters (HQ)
